text,label
 daha fragmanından filme gitmemem gerektigini johnny deep in o eblek surat iafadesini (ki bu ifade icin filmde angelina jolie nin yaptıgı yorum takdir e şayan  1) gordugumde anlamıstım aslında. johnny deep kronolojisindeki en manasız ve anlamsız film olmalı. (yani paraya falan mı ihitiyacı varmıs da kabul etmıs) film sadece angelina jolie nin moda ve vucut gosterisinden ibarettir. ne konu anlamında ne de oyunculuk adına filmde hicbir sey goremedim sahsen. gene de deep severler ve canı sıkılıp da film izlemek isteyenler icin uygundur diyeyim (zira ben o sebepten gittim). ,Negative
 bu kadar kötü beklemiyodum.tamam çok iyi de beklemiyodum sonuçta hikaye belli gülmeyi beklediğin şeyler belli ama beklediğimden daha kötüydü.gerçekten yapcak hiçbişey bulamazsanız vcd den izleyin. ,Negative
 cocuklar ıcın ıyı bır seyırlık!!!bu sonlar sısırdı artık! ,Negative
" hayatımda izlediğim en iğrenç filmlerden biriydi.türk korku filmi diyince bende güzel bişey zannettim.korkunun k si bile yoktu filmde.söylenildiği gibi kamera,ses hepsi berbat tı.inşallah bundan sonraki türk korku filmleri buna benzemez.. ",Negative
" cannes dan ödül almasına şaşırdım gerçekten de,değil ilk 10 ilk 100 film arasına bile girmezz.. ",Negative
 tam bir hezeyan.. levent üzümcü'nün gözümden düşmesine neden olan film. 2/10 ,Negative
çok çabuk ısınıyor. ve arada donma oluyor. ama alınabilir bir ürün. ,Negative
köpeğe tecavüz etmiş sapık,Negative
"interrnette görünen desenini beğenmiştim ancak ürünün çok kaliteli olduğunu söyleyemem, çok ince kağıt gibi ve yumuşak bir dokusu yok, bence bu fiyata değecek bir ürün değil kesinlikle.",Negative
 bence tipik hasan karacadağ korkusu.yada saçmalığı demem lazım.gürültüyle korkutabiliceğini zanneden bi yönetmen.şeytanlar falan korkunç diil komedi.korku filminde bütün salonun kahkahalar atması çok hoş oluyo.burak hakkının oyunu tam bi rezalet açıkçası.adama kızıcaksın demişler fakat ne triplere girmiş.imamıda sünnet çocuğu kılığına sokmuşlar şeytanla kapıştırmışlar falan.yani kısacası gerilim merilim hikaye.cidden boşa zaman kaybı bu yönetmenin filmleri.burdaki yorumlarada ayrıca bi şaşkınım.hepsine saygım var fakat ben burdaki yorumlardan cesaret alarak filme gitmiştm ancak hayal kırıklığına uğradım.bu kadar fazla beğenen olduğunada inanamyorm doğrusu.gnctrkcll kampanyası olmasa bence çok giden olucağınıda düşünmem. ,Negative
 izlenebilecek en kötü korku filmlerinden biriydi hatta bence buna korku filmi demek bile hata olur ,Negative
"bu fiyata gerekli bir çorap değil. piyasada daha ucuza benzer işlevli çoraplar var. ayrıca bunu ayağıma giyince sıcacık olacak diye düşünmeyin, ayakkabı ile de ilgili bir durum.",Negative
cok kotuym domal lütfen ,Negative
 filmi izlemediyseniz izlemeyin inanın bişey kaybetmeyeceksiniz hep aynı herşey aynı farklı hiçbirşey yok ,Negative
ürünün plastik kokusu çok rahatsız ediyor.,Negative
Başarısız ürün. Malzeme kalitesi iyi sayılabilir ancak hiçbir bekletimi karşılamadı. puding gibi az yoğun akışkanı çırparken bile çırpıcı devri düşüyor zorlanıyor.,Negative
siradanodalar temiz degil giderler cok kotu kokuyor balkonlardan rahatlikla diger odalara gecis yapilabilir ve balkon kapilari kilitlenmiyor odalara kulluk bile koymuyorlar istedigimizde ise bize su bardagi verdiler buna sondurebilirsiniz dediler yemeklerde surekli makarna ve hazir hindi koftesi cikiyor biralari plastik bardakta ve sicak veriyolar cok icmesinler diye bilincli yaptiklarini dusunuyorum bir hafta boyunca bardan soguk bira alamadik yemek yedigimiz salon les gibi ve her yerde orumcekler geziyor denizi guzel ona bi diyecegimiz yok personelde gayet iyi ellerinden geldigince yardimci olmaya calisiyolar yataklari cok rahatsiz tas gibi ve telleri batiyor odalarda dolap yok kisacasi biz tavsiye etmiyoruz,Negative
üniversite sınavında parağraf sorusu çözüyormuşum gibi oldum. almadım anlamadım kahramanları karıştırdım kim kimdi anlamadım 163 ncü sayfada hiç kimseyi tanıyamadım ve bıraktım. bir sürü şahıstan bahsetmşi durmuş. alma okuma.,Negative
