text,label
olum neden siyahi herkese kaç santim diye soruyorsunuz manyak mısınız,informal
her biri aşagilik birer militansoytari yurtdisina kacip burada ki enayilere gaz veren hainler,informal
bayadır tweet atmıyormuşum arkadaşlar mutluyum çünkü,informal
YÖNLENDİR Birleşmiş Milletler Endüstriyel Gelişme Örgütü,formal
Zaten genelde ben de ancak bir kez görebiliyordum onu.,neutral
Televizyonda televizyon reklamı yapılıyor şöyle ultra böyle k acayip net diye görüntüsü paylaşılıyor ulan mal milletin televizyonu tüplü o görüntü iyi mi kötü mü nasıl görsün,informal
Bunlar soysuz birer orospu çocuğu ya. Bunlara savaş acmazsaniz sizin de aq,informal
- Muhbirlerin kefaletini ödüyor.,neutral
Yarı final Francesca Schiavone'ye yenildi [5],formal
Mücevher kutusu soyulduğunda,neutral
- Burada bununla alışveriş edilir. - Bu çirkin kadın da kim?,neutral
Ancak sezon sonu Jean Tigana tarafından gönderildi.,formal
Özellikle Konya ve Tuz Gölü çevresinde görülür.,formal
Deniz satar üzdü lan,informal
Şüphesiz ki Allah tasadduk edenleri fazlasıyla ödüllendirir.”,neutral
Arkadaşı ve yönetmen Blake Edwards ile gergin bir ilişkisi vardı.,formal
SIZ KIMSINIZ DE BARISIN ANNESİNE APTAL DİYEBİLİYOSUNUZ TEZENEYİ CIGRINDAN CIKARMAYIN AKLINIZI SİKİYİM SİZİN,informal
Terry Gilliam teklifi direkt reddetmiştir.,formal
"Kalbimi zehirlediler, ...kanımı koyulaştırdılar.",neutral
Kızkardeşiniz kefaret ve inziva ibadetine son derece sadıktı.,neutral
Resim : Bakacak1.JPG|Bakacak 'tan Osmangazi ve Yıldırım'ın bir bölümü,formal
Bu bölüm bahçenin temelini oluşturan bitkileri toplayan Conrad Gesner'e adanmıştır.,formal
"' '' Bekdorf '' ' Almanya'nın kuzeyinde Schleswig-Holstein eyaletinde, Steinburg iline bağlı yerleşim yeri.",formal
Emirler doğru mu yanlış mı sorgulamaz.,neutral
musleraya laf söyleyenin ağzına siçarim defol gitsin kahpe evladı tudor piçi,informal
Şimdi içecek bir şey istiyorum.,neutral
Ben kimseyi bir şey yapmaya zorlamadım.,neutral
Günaydın Masallar de yazılmış olsaydı Gepetto Pinokyo nun burnunu çüküne monte ederdi Pamuk prenses fahişe çıkardı Rapunzel in saçları dökülür kemoterapilerde Polyanna acıdan ölür Kibritçi Kız uyuşturucu satmaktan Narkotik Şube de işkenceyle sorgulananıyor olurdu,informal
Çalışmalarında Benozzo Gozzoli'den etkilendiği söylenebilir.,formal
"Seküler bir ülkenin, eğlenebilen bir toplumun tahayyüllerinden biri gibiydi, Huysuz Virjin’i, Seyfi Dursunoğlu’nu unutmayacağız. Hayatının son yıllarında sahneye çıkmaması için yapılan baskıları, yasakları da unutmayacağız.",informal
flamingoları öldürmeyin,informal
Nedim Şener ne kalıpsız bir adam çıktın sen Saraya yalakalıkta yarışa girdin Ne mal olduğunu herkes anladı,informal
2015–16 sezonu Football League One'da mücadele edecektir.,formal
Fabrikamız bir sanat eseri.,neutral
Sağlık ocağı vardır fakat kullanılmamaktadır.,formal
"' '' Yaka '' ', Gelendost ilçesine bağlı bir kasabadır.",formal
Okunmayan haberlerleri sırala:,neutral
Yarış 10 takım arasında geçti ve sezon sonunda Ferencvárosi TC şampiyonluğa ulaştı.,formal
Ölene kadar Vickie Guerrero'nun kocası idi.,formal
Burda sonda adamların yaptıgı gibi olması lazım çünkü burda cahil kadın özne değil nesne durumunda. Fazla kpss bu hale getirdi beni. O değil de çok fena çakmış lafı,informal
Ancak Semtex'in en büyük alıcısı Libya'dır.,formal
Türkiye içinde ve dışarıda birçok sergiye katıldı.,formal
Cartoon Network ( Türkiye ) ( 2009–devam ediyor... ),formal
İlham Zulkarnaev isimli bir Rus tarafından programlanmıştır.,formal
İKİZLER Sevgisi de nefretide sonsuzdur,informal
allah rahmet eylesin yakınlarına sabır versin böyle acılar tekrar yaşanmaz umarım,informal
